ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000021.SZ,D,0.25,2.87,4.23,5.095,6.565,-10.915,-16.51,-20.57,-25.965,B,34
000021.SZ,D,0.5,7.3,11.1,13.45,19.34,-5.17,-9.03,-12.44,-16.33,B,34
000021.SZ,D,0.75,15.335,23.61,30.245,49.045,-1.1,-2.665,-4.195,-6.485,B,34
000021.SZ,D,0.9,27.226,47.732,65.342,89.19,0,0,0,-0.47,B,34
000021.SZ,D,0.1,0,0,0,0,-19.494,-26.248,-31.092,-38.636,T,34
000021.SZ,D,0.25,0.26,1.6,2.41,3.72,-13.15,-18.59,-22.83,-28.53,T,34
000021.SZ,D,0.5,4.48,7.88,10.28,16.7,-7.87,-11.45,-14.48,-18.35,T,34
000021.SZ,D,0.75,12.18,20.17,27.23,44.53,-3.86,-5.37,-6.96,-8.89,T,34
000021.SZ,D,0.9,21.84,42.82,59.934,87.824,-1.164,-1.972,-2.524,-3.452,T,34
000023.SZ,D,0.1,0.85,1.48,1.812,2.32,-19.65,-28.388,-35.89,-43.182,B,34
000023.SZ,D,0.25,2.865,4.395,4.96,6.61,-12.035,-18.005,-22.42,-30.605,B,34
000023.SZ,D,0.5,7.04,10.69,13.11,18.51,-5.66,-9.97,-12.92,-17.14,B,34
000023.SZ,D,0.75,14.93,21.875,28.655,38.485,-1.09,-3.455,-4.995,-7.69,B,34
000023.SZ,D,0.9,27.988,42.146,54.488,76.846,0,0,0,-0.78,B,34
000023.SZ,D,0.1,0,0,0,0,-22.652,-30.756,-38.27,-44.666,T,34
000023.SZ,D,0.25,0.455,1.6,2.405,3.915,-14.31,-20.235,-25.165,-32.845,T,34
000023.SZ,D,0.5,4.35,7.4,10.54,15.33,-8,-12.4,-15.32,-19.05,T,34
000023.SZ,D,0.75,11.41,18.035,24.92,35.655,-4.01,-6.33,-7.605,-10.14,T,34
000023.SZ,D,0.9,23.09,36.358,48.408,69.622,-1.336,-2.106,-2.74,-3.69,T,34
000025.SZ,D,0.1,0.626,1.356,1.766,2.606,-19.848,-27.798,-33.836,-40.698,B,34
000025.SZ,D,0.25,2.64,4.27,5.76,7.65,-12.1,-19.12,-22.81,-28.99,B,34
000025.SZ,D,0.5,7.37,11.13,13.65,19.19,-5.78,-10.28,-13.92,-18,B,34
000025.SZ,D,0.75,16.12,24.88,32.94,42.94,-1.18,-3.32,-4.56,-7.05,B,34
000025.SZ,D,0.9,32.5,48.278,62.144,86.552,0,0,-0.036,-0.758,B,34
000025.SZ,D,0.1,0,0,0,0,-22.295,-30.63,-35.465,-42.32,T,34
000025.SZ,D,0.25,0.1875,1.5075,2.6325,4.595,-15.0875,-21.2925,-25.11,-31.27,T,34
000025.SZ,D,0.5,4.475,8.135,10.54,15.325,-8.385,-12.78,-15.965,-20.165,T,34
000025.SZ,D,0.75,12.08,20.5025,28.325,40.365,-3.6575,-5.6175,-7.14,-9.56,T,34
000025.SZ,D,0.9,26.06,42.675,57.265,83.245,-1.21,-2.02,-2.705,-3.665,T,34
000026.SZ,D,0.1,0.9,1.35,1.67,2.27,-16.91,-24.92,-30,-37.52,B,34
000026.SZ,D,0.25,3.07,4.57,5.59,7.04,-10.42,-15.11,-19.52,-25.42,B,34
000026.SZ,D,0.5,7.33,10.73,13.98,20.7,-4.54,-7.87,-10.04,-12.93,B,34
000026.SZ,D,0.75,14.88,22.59,29.25,43.56,-0.71,-1.91,-2.88,-4.67,B,34
000026.SZ,D,0.9,25.59,42.25,51.27,75.82,0,0,0,0,B,34
000026.SZ,D,0.1,0,0,0,0.33,-19.88,-27.08,-32.602,-40.59,T,34
000026.SZ,D,0.25,0.7,1.89,2.69,4.27,-12.71,-18.01,-21.81,-27.54,T,34
